视频ID,视频标题,自定义ID,IP地址,观众地理位置,观看时长,消耗流量,播放终端,操作系统,浏览器,观看地址,观众昵称,开始时间
d1977c4d680c52dd6158b50ed6eb5430_d,,870f5e040a6919de15acc3eb49e7bf0b,119.250.95.114,河北 廊坊,00:10:53,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMzMDQ,,2018-08-08 07:05:38
d1977c4d68b1ff247d30ad125d77ef44_d,,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:01:23,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 07:06:30
d1977c4d68ae239f0004933dabf4249d_d,32 正则查询_batch,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:02:24,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 07:07:16
d1977c4d6828cf038a3fcac8f89b54ee_d,,5dc76d647977916992cacfd6cb3e0545,58.100.105.47,浙江 杭州,00:13:22,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE5MDk,,2018-08-08 07:05:53
d1977c4d68092a2f88881ed96f1ef653_d,,618b0f514253119edd6ff124a9911eb5,113.91.84.96,广东 深圳,00:00:02,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwNjE,,2018-08-04 20:29:05
d1977c4d682174ea0e34fdba0e9d2cf7_d,,618b0f514253119edd6ff124a9911eb5,113.91.84.96,广东 深圳,00:00:02,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwNjE,,2018-08-04 20:28:07
d1977c4d68c6fdcb809689979e40ec33_d,,618b0f514253119edd6ff124a9911eb5,113.91.84.96,广东 深圳,00:00:01,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwNjE,,2018-08-04 20:28:45
d1977c4d68acc6cf85d0bdfc17b44bec_d,02-web应用程序1_batch,618b0f514253119edd6ff124a9911eb5,113.91.84.96,广东 深圳,00:00:01,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwNjE,,2018-08-04 20:28:57
d1977c4d68a376bf0bb5450f906dc7ec_d,01-django基础介绍_batch,618b0f514253119edd6ff124a9911eb5,113.91.84.96,广东 深圳,00:00:03,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwNjE,,2018-08-04 20:29:17
d1977c4d68c5f9dd3434d2d0a76f0e4a_d,31 单表查询的语法顺序与执行顺序总结_batch,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:06:35,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 06:58:25
d1977c4d68159ef07241f11cd0f9941c_d,18-路飞-第36章-自动注册配置说明_batch,7dd10e48efe9c17ce1ae0048587338cb,180.97.198.88,江苏 苏州,00:08:55,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMyODY,,2018-08-04 20:29:43
d1977c4d6821e043ee05a0d2cc4b3e3f_d,10模拟ssh远程执行命令-项目分析_batch,32de2fb8c24dd2b2a3c7fafb5b7bb191,180.138.88.237,广西 南宁,00:07:29,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:11:32
d1977c4d6891a901b64c2a2b84ec899f_d,,5dc76d647977916992cacfd6cb3e0545,58.100.105.47,浙江 杭州,00:10:50,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE5MDk,,2018-08-08 07:00:19
d1977c4d685808f795e7f0198bd684b3_d,,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:06:12,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 06:59:49
d1977c4d685f3efd7668c2ec72990cf9_d,17-路飞-第36章-自动发现配置说明_batch,7dd10e48efe9c17ce1ae0048587338cb,180.97.198.88,江苏 苏州,00:06:00,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMyODY,,2018-08-04 20:29:34
d1977c4d6824da7ce7eea3b792f9ac28_d,09实现服务端可以对多个客户端提供服务_batch,32de2fb8c24dd2b2a3c7fafb5b7bb191,180.138.88.237,广西 南宁,00:10:58,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:10:05
d1977c4d6887f4252b1113b05812a12d_d,16-路飞-第36章-自动发现与自动注册_batch,7dd10e48efe9c17ce1ae0048587338cb,180.97.198.88,江苏 苏州,00:02:51,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMyODY,,2018-08-04 20:29:18
d1977c4d689646d865137e7043ce17a3_d,,358f175644fb6265452ed468df12afd6,47.74.157.106,香港 未知,00:04:55,0,PC端,Mac OS X,Safari,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI1MzQ,,2018-08-08 06:53:16
d1977c4d686301f6a36d0df4c86a709d_d,71-z-index的用途_batch,358f175644fb6265452ed468df12afd6,47.74.157.106,香港 未知,00:00:01,0,PC端,Mac OS X,Safari,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI1MzQ,,2018-08-08 07:00:11
d1977c4d68398a1af682e5c7a591a061_d,,358f175644fb6265452ed468df12afd6,47.74.157.106,香港 未知,00:00:11,0,PC端,Mac OS X,Safari,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI1MzQ,,2018-08-08 06:52:34
d1977c4d686301f6a36d0df4c86a709d_d,71-z-index的用途_batch,358f175644fb6265452ed468df12afd6,47.74.157.106,香港 未知,00:00:04,0,PC端,Mac OS X,Safari,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI1MzQ,,2018-08-08 06:52:52
d1977c4d685b3a321fbf991e9c1acb98_d,,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:13:01,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 06:53:47
d1977c4d68dbdd0377e5d2dc5c6f4572_d,,17c4815e5a4ca745d5c0340c09925a6c,171.82.156.238,湖北 未知,00:01:29,0,移动端,Android Mobile,微信,aHR0cHM6Ly9tLmx1ZmZ5Y2l0eS5jb20vc3R1ZHkvdmlkZW9jb3Vyc2U_aWQ9MTc5MQ,,2018-08-04 20:28:30
d1977c4d68192805ae89aa5b43439338_d,08-客户端与服务端代码bug修复,32de2fb8c24dd2b2a3c7fafb5b7bb191,180.138.88.237,广西 南宁,00:13:25,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:10:33
d1977c4d68dbdd0377e5d2dc5c6f4572_d,,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:07:01,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 06:53:01
d1977c4d68f5b52b314a5e2b6f7f9323_d,15-路飞-第36章-全网监控项目说明_batch,7dd10e48efe9c17ce1ae0048587338cb,180.97.198.88,江苏 苏州,00:09:32,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMyODY,,2018-08-04 20:22:20
d1977c4d68808682362818e4d132f3a3_d,,877089441fa90b1cddc54221e34bcacb,111.30.198.163,天津 天津,00:00:11,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI5NzQ,,2018-08-08 06:48:05
d1977c4d6869587bb5a882f101117049_d,07-在简单套接字基础上加上通信循环,32de2fb8c24dd2b2a3c7fafb5b7bb191,180.138.88.237,广西 南宁,00:06:43,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:06:22
d1977c4d68437e1a383ee12883465f58_d,33try...except...详细用法_batch,32de2fb8c24dd2b2a3c7fafb5b7bb191,180.138.88.237,广西 南宁,00:00:13,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:04:59
d1977c4d687a2bf8c9031eb4e3a73100_d,16解决粘包问题-终极版本_batch,,113.72.44.7,广东 佛山,00:16:59,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY3Mw,,2018-08-05 01:05:52
d1977c4d68e794c9a39c443beb19d67f_d,59 博客系统之提交根评论_batch,472d46cb829018f9dbd65fb8479a49bb,113.69.34.114,广东 佛山,00:12:06,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwMzg,,2018-08-04 20:22:58
d1977c4d6875e0dddb2ec5fe42ac48d4_d,,,223.85.219.106,四川 成都,00:00:01,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMzMTQ,,2018-08-08 06:44:08
d1977c4d68de4a7268e449a847b49963_d,28自定义元类控制类的创建_batch,f8a8debda45d96429ab5e7a7e6e44b70,218.24.66.78,辽宁 沈阳,00:00:03,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY2Nw,,2018-08-08 06:43:33
d1977c4d68ef5abdeb1ac2dedf17396c_d,25反射_batch,f8a8debda45d96429ab5e7a7e6e44b70,218.24.66.78,辽宁 沈阳,00:00:14,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY2Nw,,2018-08-08 06:43:22
d1977c4d681688fececd1e60cde469f7_d,58 博客系统之评论样式_batch,472d46cb829018f9dbd65fb8479a49bb,113.69.34.114,广东 佛山,00:05:37,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwMzg,,2018-08-04 20:17:10
d1977c4d681688fececd1e60cde469f7_d,58 博客系统之评论样式_batch,472d46cb829018f9dbd65fb8479a49bb,113.69.34.114,广东 佛山,00:05:37,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwMzg,,2018-08-04 20:17:53
d1977c4d68c2a0f419deedf51588be9d_d,15解决粘包问题-简单版本_batch,,113.72.44.7,广东 佛山,00:09:25,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY3Mw,,2018-08-05 01:06:22
d1977c4d6898e2694ce2ee13aa187278_d,80 博客系统之基于bs4模块防御xss攻击_batch,618b0f514253119edd6ff124a9911eb5,183.17.237.232,广东 深圳,00:07:48,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzMwNjE,,2018-08-04 20:17:03
d1977c4d68ca618b2a5428f7585aa3d6_d,06 如何使用对象_batch,53e5546542e83a92f645d496cb34b90b,116.234.107.243,上海 上海,00:07:24,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzQwOA,,2018-08-05 01:01:02
d1977c4d68de4a7268e449a847b49963_d,28自定义元类控制类的创建_batch,f8a8debda45d96429ab5e7a7e6e44b70,218.24.66.78,辽宁 沈阳,00:02:59,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY2Nw,,2018-08-08 06:39:57
d1977c4d68ef5abdeb1ac2dedf17396c_d,25反射_batch,f8a8debda45d96429ab5e7a7e6e44b70,218.24.66.78,辽宁 沈阳,00:00:01,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY2Nw,,2018-08-08 06:40:19
d1977c4d689a9a6780b0d349c3ca280d_d,,5dc76d647977916992cacfd6cb3e0545,58.100.105.47,浙江 杭州,00:30:22,0,PC端,Windows,QQ,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE5MDk,,2018-08-08 06:34:48
d1977c4d68fc1357131431ea7fb27534_d,27 group by分组_batch,17c4815e5a4ca745d5c0340c09925a6c,171.82.156.238,湖北 未知,00:15:23,0,移动端,Android Mobile,微信,aHR0cHM6Ly9tLmx1ZmZ5Y2l0eS5jb20vc3R1ZHkvdmlkZW9jb3Vyc2U_aWQ9MTc5MA,,2018-08-04 20:17:19
d1977c4d68818b331ef47d66ee5b6400_d,13粘包底层原理分析_batch,ecfa277a6e6cdb2628e429e31d0f72a8,115.171.23.105,北京 北京,00:35:57,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:00:45
d1977c4d68474503cb5702af8e361f2c_d,20-开启线程的两种方式_batch,18126e7bd3f84b3f3e4df094def5b7de,115.174.68.56,广东 深圳,00:04:17,0,PC端,Windows,Firefox,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5Lzg2OQ,,2018-08-08 06:35:11
d1977c4d68437e1a383ee12883465f58_d,33try...except...详细用法_batch,ecfa277a6e6cdb2628e429e31d0f72a8,115.171.23.105,北京 北京,00:00:05,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzgzMA,,2018-08-05 01:01:48
d1977c4d68fc1357131431ea7fb27534_d,27 group by分组_batch,49e98ce914b677530b301af7eb6ebceb,120.230.129.154,中国 未知,00:25:54,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzE3ODc,,2018-08-08 06:35:07
d1977c4d684fc306f551106a4f17b624_d,19-什么是线程_batch,18126e7bd3f84b3f3e4df094def5b7de,115.174.68.56,广东 深圳,00:06:25,0,PC端,Windows,Firefox,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5Lzg2OQ,,2018-08-08 06:30:59
d1977c4d6882889d4087679b5bd9f4ee_d,,1a72db7b71d061b80b822988c109c148,58.40.56.146,上海 上海,00:06:09,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI0OTc,,2018-08-04 20:11:18
d1977c4d689e943ba0e83b1c280f1d87_d,14解决粘包问题-伪代码实现_batch,,113.72.44.7,广东 佛山,00:15:27,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzY3Mw,,2018-08-05 00:57:08
d1977c4d6843a52aa7f32bfb1b3d7a5a_d,,1a72db7b71d061b80b822988c109c148,58.40.56.146,上海 上海,00:00:40,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI0OTc,,2018-08-04 20:13:03
d1977c4d68900a1d41f111255bc065ca_d,,1a72db7b71d061b80b822988c109c148,58.40.56.146,上海 上海,00:00:48,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI0OTc,,2018-08-04 20:12:13
d1977c4d6882889d4087679b5bd9f4ee_d,,1a72db7b71d061b80b822988c109c148,58.40.56.146,上海 上海,00:01:35,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI0OTc,,2018-08-04 20:11:51
d1977c4d68fe2004e389ecbc7f552885_d,18-JoinableQueue的使用_batch,18126e7bd3f84b3f3e4df094def5b7de,115.174.68.56,广东 深圳,00:06:56,0,PC端,Windows,Firefox,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5Lzg2OQ,,2018-08-08 06:28:33
d1977c4d68ef7fd33c321fce771ab3f5_d,,58f81c28c100246baed662c7b3af62ba,182.200.105.42,辽宁 沈阳,00:14:31,0,PC端,Windows,Chrome,aHR0cHM6Ly93d3cubHVmZnljaXR5LmNvbS9taWNyby9wbGF5LzI1MzQ,,2018-08-04 20:12:40
